Life expectancy,percentage expenditure,Hepatitis B,Polio,Total expenditure,Diphtheria,GDP,Income composition of resources,Schooling
73.0,5.406466590142783,99.0,98.0,6.38,97.0,7.790525725110208,0.681,10.9
72.8,2.7548885455196648,97.0,97.0,6.27,97.0,5.250604795816188,0.674,10.7
73.3,4.6588712784519215,96.0,98.0,6.3,98.0,7.282515635372728,0.67,10.7
73.6,4.576828022375532,96.0,97.0,6.0,97.0,7.19140929218502,0.662,10.6
72.6,4.529492958027057,96.0,97.0,6.26,97.0,7.070544805715177,0.656,10.7
75.4,4.01163878101945,95.0,95.0,7.21,95.0,6.307828277513971,0.741,14.4
75.3,6.301612504587525,95.0,95.0,7.12,95.0,8.607557846977695,0.737,14.4
75.1,6.32243252627382,95.0,95.0,6.14,95.0,8.624400619281232,0.732,14.4
74.9,6.23441472669076,95.0,95.0,5.29,95.0,8.600293183905098,0.724,14.0
74.7,6.067771638586006,95.0,95.0,5.12,95.0,8.403888913011384,0.714,13.6
74.4,5.866648329351803,94.0,94.0,5.36,95.0,8.26096617525377,0.705,13.1
74.1,3.7861688861783276,91.0,92.0,4.2,93.0,6.207089637494888,0.697,12.6
73.8,5.772449723667242,9.0,95.0,3.82,95.0,8.277966838134029,0.69,12.3
73.4,5.603004761160019,8.0,95.0,3.36,95.0,8.150646221844118,0.686,12.3
72.9,1.266644108986823,83.0,88.0,3.24,88.0,3.4695529212073555,0.68,12.0
72.3,5.3999425600682835,81.0,86.0,3.54,86.0,7.863259916294093,0.673,11.7
51.7,3.21749935797215,64.0,68.0,3.31,64.0,6.17443639241852,0.527,11.4
51.1,3.609797631038728,77.0,67.0,4.26,77.0,6.185420008498344,0.523,11.4
56.0,5.549552719535908,75.0,75.0,3.3,75.0,8.433648523096771,0.508,10.3
51.0,5.4843461767283666,72.0,73.0,3.38,71.0,8.366400275651035,0.495,9.4
49.6,5.260894487961259,77.0,81.0,3.39,77.0,8.169204645533457,0.488,9.0
49.1,5.365615821655336,61.0,63.0,4.37,6.0,8.116370744459195,0.48,8.5
48.7,5.525095089453854,69.0,65.0,3.84,69.0,8.260900964340689,0.468,8.1
48.2,5.224785699221859,73.0,75.0,3.38,73.0,7.965489024308915,0.454,7.7
76.2,7.793174253954877,99.0,96.0,5.54,99.0,9.46415253044146,0.782,13.9
76.1,7.597110465009863,99.0,98.0,5.33,99.0,9.411308999779358,0.781,13.9
75.9,7.676580197040668,98.0,97.0,5.39,98.0,9.438785204236783,0.778,13.8
75.7,7.502117674080872,99.0,99.0,5.65,99.0,9.386840844921688,0.782,14.1
75.6,7.593352498679419,98.0,99.0,5.63,98.0,9.403261895099131,0.783,14.1
75.4,5.013024008844174,98.0,98.0,4.86,99.0,7.180425424187216,0.788,14.2
75.2,5.202776642420411,98.0,99.0,4.69,99.0,7.295951623248969,0.786,14.4
75.0,5.556698828638881,97.0,98.0,4.27,99.0,9.564743353361457,0.781,14.5
74.8,5.381346506237099,99.0,99.0,4.34,99.0,9.451354785537198,0.773,14.7
74.6,7.283865851704862,99.0,98.0,4.41,99.0,9.33899203619325,0.6651734296831573,0.0
74.4,3.172327133241203,97.0,97.0,4.21,97.0,7.210698357634711,0.6651734296831573,0.0
74.2,7.055369148053145,99.0,99.0,4.53,99.0,9.184081152798269,0.6651734296831573,0.0
74.0,6.833470844875305,99.0,93.0,4.41,98.0,9.147157353276612,0.6651734296831573,0.0
73.8,5.10453658976805,96.0,99.0,4.48,97.0,9.144110198080574,0.6651734296831573,0.0
76.2,6.743318919802188,94.0,92.0,4.79,94.0,9.412975573350558,0.825,17.3
76.0,6.9105477085191716,94.0,99.0,4.99,94.0,9.470982879686202,0.823,17.3
75.9,7.033998429400421,91.0,99.0,5.2,91.0,9.47045373583578,0.822,17.2
75.7,7.316767064853229,91.0,93.0,5.89,91.0,9.451558281518993,0.816,17.1
75.5,5.239686454408513,94.0,95.0,6.55,94.0,7.152476352123157,0.802,16.8
75.6,7.243543440963352,94.0,97.0,7.63,94.0,9.007289805310181,0.794,16.5
75.4,7.254697817330266,9.0,94.0,6.66,93.0,9.099895762521296,0.792,16.3
74.8,7.009100873519826,85.0,92.0,6.49,91.0,8.881088475449316,0.788,16.3
75.2,6.869198911406456,84.0,92.0,6.68,91.0,8.679271439728321,0.782,16.1
74.9,4.576426354754442,88.0,95.0,6.85,98.0,6.359372860582331,0.78,16.3
74.7,6.579759943278847,81.0,91.0,6.84,98.0,8.355279807479912,0.775,16.3
74.1,4.070473118347059,73.0,95.0,8.22,96.0,5.812450315081009,0.77,16.4
74.1,6.1552548613660285,66.0,94.0,8.31,93.0,7.855619546430775,0.776,16.3
74.6,5.692413809919565,93.0,95.0,4.48,93.0,8.292977153944294,0.739,12.7
74.4,5.636320863049348,95.0,96.0,4.55,95.0,8.254422559772788,0.736,12.7
74.4,5.617326211198904,95.0,96.0,4.48,95.0,8.212255927396892,0.732,12.7
73.9,5.568330696795552,95.0,96.0,3.71,95.0,8.168480221812706,0.729,12.7
73.5,5.417526945984604,94.0,96.0,4.56,94.0,8.076944587489136,0.72,12.3
73.3,5.309185820846361,93.0,94.0,4.55,93.0,8.004643592792524,0.725,11.9
73.2,1.3581258012933668,89.0,91.0,3.8,89.0,3.744076904855239,0.721,12.3
73.5,3.8192978740252537,85.0,9.0,4.31,88.0,8.051942186538431,0.707,11.7
72.9,5.503440630190707,78.0,87.0,4.58,87.0,7.677538910967633,0.692,11.2
73.0,3.0548606367689115,91.0,92.0,5.25,9.0,7.405348781288232,0.679,10.9
73.0,4.592499019159473,91.0,93.0,5.5,91.0,7.084194502057882,0.668,10.9
72.7,2.12124223487826,93.0,96.0,5.56,94.0,4.5450608463285,0.657,10.8
72.6,4.063509064533305,91.0,96.0,5.4,94.0,6.664742764396565,0.645,10.8
72.6,3.9925652213112977,69.0,97.0,5.94,94.0,6.544537720168012,0.644,11.1
72.0,3.519166134294296,55.0,96.0,6.25,93.0,6.435738020064267,0.639,11.2
82.7,9.284553478960188,91.0,92.0,9.42,92.0,11.038362517008984,0.936,20.4
82.5,9.370403863201267,91.0,91.0,9.36,91.0,11.124219218364104,0.933,20.3
82.3,9.368710586745841,91.0,92.0,9.36,92.0,11.12252582223859,0.93,20.1
82.0,9.30449217839777,92.0,92.0,9.2,92.0,11.038851627654447,0.927,19.8
81.9,9.091194889072415,92.0,92.0,9.2,92.0,10.85660860438734,0.927,19.5
81.7,8.878117625528336,94.0,92.0,9.5,92.0,10.662984089774609,0.925,19.1
81.3,9.053486817655761,94.0,92.0,8.78,92.0,10.813069539017334,0.921,19.1
81.3,6.772621012956407,94.0,92.0,8.53,92.0,8.515788783697221,0.918,19.0
81.2,8.730377233782361,95.0,92.0,8.49,92.0,10.494582179261252,0.915,20.3
81.0,6.3632576697743275,95.0,92.0,8.45,92.0,8.136727428363427,0.91,20.3
86.0,6.379390694592229,95.0,92.0,8.57,92.0,8.152883396031644,0.908,20.7
83.0,8.25076391726074,95.0,92.0,8.32,93.0,10.063324275707428,0.905,20.6
79.9,3.858351768079221,95.0,92.0,8.39,92.0,5.644802272956251,0.902,20.1
79.9,8.027901096072396,94.0,91.0,8.18,92.0,9.879135518042451,0.899,20.5
81.4,9.030159744516626,98.0,98.0,11.21,98.0,10.84590674314345,0.892,15.9
81.1,4.517267631217479,95.0,95.0,11.14,95.0,6.320256148737966,0.887,15.7
88.0,8.972003529298954,92.0,92.0,11.17,92.0,10.785902375095489,0.884,15.7
88.0,9.020789557796853,89.0,89.0,1.94,89.0,10.842082513227824,0.88,15.7
84.0,8.912504089454613,86.0,86.0,11.17,86.0,10.750613162374773,0.872,15.4
82.0,8.993993376412169,83.0,83.0,11.19,83.0,10.771746763808034,0.87,15.3
84.0,9.027706565037224,83.0,83.0,1.6,83.0,10.847147830814054,0.864,15.1
81.0,8.916622037898605,85.0,85.0,1.4,85.0,10.749090817192405,0.86,15.2
79.8,4.2616792861946795,83.0,83.0,1.35,83.0,6.098059922512579,0.854,15.0
79.4,8.698445514950658,86.0,86.0,1.53,86.0,10.55172693428379,0.848,14.9
79.3,8.578829528288123,83.0,83.0,1.56,83.0,10.510380147849137,0.841,14.7
78.8,6.225411280345961,83.0,84.0,1.48,84.0,8.075251477645555,0.837,14.7
78.7,8.289051602695906,81.0,82.0,1.27,83.0,10.179313708539238,0.847,16.1
78.6,8.184192448422317,44.0,83.0,1.12,84.0,10.10605018338659,0.837,15.5
78.1,8.177081883359206,33.0,71.0,1.6,81.0,10.107173728907705,0.833,15.4
72.5,5.7274418098594735,94.0,97.0,6.4,94.0,8.97364285121583,0.752,12.2
72.2,5.6227585674860645,93.0,96.0,5.54,93.0,8.97167154395244,0.745,11.9
71.9,5.658123771540717,88.0,92.0,5.37,89.0,8.922303000146385,0.742,11.8
71.6,5.576489483629631,84.0,91.0,5.1,87.0,8.88054258364633,0.741,11.7
71.1,5.51168771855236,8.0,85.0,5.33,81.0,8.673146446770469,0.737,11.7
78.0,3.156420828112131,74.0,84.0,5.85,81.0,6.207170086870373,0.728,11.6
73.0,5.333981828151132,68.0,85.0,4.37,81.0,8.62616206511284,0.719,11.6
73.0,5.176210242607467,62.0,81.0,5.1,79.0,8.256461439614514,0.708,11.6
69.2,4.669399844432491,52.0,8.0,6.17,78.0,7.8139382026442155,0.682,10.7
68.4,4.410235385836536,49.0,79.0,7.86,75.0,7.36481543927772,0.675,11.2
68.4,2.2614302264113655,5.0,78.0,7.92,77.0,4.985087032209077,0.668,11.0
67.8,3.770802972645638,51.0,79.0,6.56,77.0,6.785185300236318,0.659,10.8
67.8,3.697158509708863,5.0,8.0,4.47,76.0,6.639534049934879,0.651,10.6
76.8,5.908777463778001,98.0,98.0,4.98,98.0,10.12600607656147,0.82,14.5
76.7,1.6031574278142395,99.0,99.0,4.69,99.0,5.530156164396794,0.815,14.5
76.5,7.701749906709241,99.0,99.0,4.37,99.0,10.071133895279848,0.812,14.5
76.1,5.292165825054291,99.0,99.0,3.4,99.0,7.732861954883139,0.812,14.4
76.1,5.590126954824613,99.0,99.0,3.64,99.0,7.909540501288332,0.81,14.4
76.0,5.810945658331268,98.0,97.0,3.79,98.0,9.870844124263598,0.814,14.4
75.8,5.449096187471604,97.0,97.0,3.17,97.0,7.770039713285685,0.815,14.4
75.6,5.63250227708945,97.0,97.0,3.8,97.0,7.999045929754367,0.813,14.4
75.5,5.145966581687565,98.0,98.0,3.8,98.0,7.56992532929874,0.81,14.2
75.3,7.348889251171228,98.0,98.0,3.16,98.0,9.795912282786736,0.806,14.0
75.2,7.230728306316781,98.0,98.0,3.37,98.0,9.670765549594348,0.803,13.9
75.0,7.102958646992107,98.0,97.0,3.74,97.0,9.562615130582959,0.798,13.7
74.9,4.676842577951485,98.0,98.0,3.89,98.0,7.180324655247792,0.796,13.5
74.7,7.048749559976915,99.0,99.0,3.8,99.0,9.462592993349617,0.794,13.3
74.5,5.128282404663391,97.0,97.0,3.51,97.0,9.52056738754834,0.786,13.2
71.4,2.437675561877319,97.0,97.0,2.82,97.0,5.223407542227545,0.57,10.0
71.0,3.9858284185440693,96.0,96.0,2.88,96.0,6.859498898499841,0.565,10.0
77.0,4.098650705796807,94.0,94.0,3.8,94.0,6.7538379051035955,0.557,9.9
73.0,4.148673088928085,96.0,96.0,3.16,96.0,6.729572355418824,0.545,9.4
69.9,4.153547850029587,94.0,94.0,3.6,94.0,6.631569216397429,0.535,8.9
69.5,3.993861093303219,97.0,97.0,2.91,97.0,6.525213464996813,0.523,8.4
69.1,3.772499992327115,96.0,96.0,2.85,96.0,6.4245084096212075,0.52,8.6
68.6,3.8578913082682336,95.0,96.0,2.8,94.0,6.296467279616009,0.513,8.6
68.2,3.7688557341965936,86.0,95.0,2.8,94.0,6.205596939608866,0.506,8.4
67.8,3.664961179658894,45.0,94.0,2.68,93.0,6.184469398332387,0.499,8.2
67.3,1.6321180955923675,11.0,88.0,2.62,99.0,3.8661448479487044,0.491,8.1
66.8,3.5968899678737833,5.0,9.0,2.51,87.0,6.072442733700025,0.484,7.9
75.4,5.690040681899908,94.0,95.0,7.47,94.0,9.639565606662629,0.793,15.3
75.2,5.576090319689942,91.0,91.0,7.57,91.0,9.646902348087034,0.792,15.3
75.1,5.5645372110129285,87.0,88.0,7.43,87.0,9.641205153217594,0.785,15.3
74.9,5.164686328387634,91.0,91.0,6.67,91.0,9.65086095373591,0.78,15.5
74.7,5.04961935296707,86.0,9.0,6.17,86.0,7.375827243764772,0.781,15.8
74.6,5.793506818443381,93.0,93.0,6.21,93.0,9.712588748905539,0.779,15.5
74.4,3.278003651563158,85.0,85.0,6.1,85.0,7.413562009145617,0.775,15.3
74.2,7.403858950655761,93.0,93.0,5.64,93.0,9.708900211229968,0.771,15.0
74.1,5.2067506420635326,84.0,85.0,5.27,84.0,9.6580702157529,0.766,14.8
73.9,7.179643601435531,92.0,91.0,5.38,92.0,9.562746822043149,0.761,14.6
73.8,5.118043777036767,93.0,93.0,5.71,93.0,9.462643725553681,0.757,14.4
73.7,2.675113128994131,91.0,9.0,5.82,89.0,7.11439921723775,0.753,14.2
73.5,4.89858199460556,66.0,86.0,5.76,87.0,9.365324471555557,0.749,14.0
73.4,4.935670789992984,18.0,93.0,5.47,84.0,9.351394686704404,0.75,14.0
72.0,7.0458736104991235,97.0,97.0,5.69,97.0,9.026348936991392,0.796,15.7
71.7,7.01288492509164,98.0,98.0,6.7,98.0,8.984671815893831,0.796,15.7
71.9,4.529472255427822,97.0,98.0,5.1,98.0,6.54426274082838,0.793,15.6
72.0,6.7427760396379535,98.0,98.0,4.92,98.0,8.782739699479071,0.787,15.5
73.0,2.2506700453579973,96.0,99.0,5.55,98.0,4.164939239022555,0.78,15.5
70.0,6.077179986295345,98.0,98.0,6.9,96.0,8.552014365582838,0.771,15.4
70.0,6.220203642325992,98.0,98.0,5.95,97.0,8.760481766774719,0.755,15.1
69.8,6.1422040863190075,91.0,9.0,6.44,95.0,8.463050541890212,0.739,14.9
68.9,5.90106393861092,98.0,97.0,6.34,99.0,8.255624761348527,0.723,14.6
68.1,3.8426745988889546,99.0,98.0,6.89,99.0,8.04805883864021,0.713,14.4
68.2,3.7689476770773394,99.0,99.0,6.59,99.0,7.774578110475549,0.703,14.1
67.7,3.2122855945252553,56.0,53.0,6.59,5.0,7.506880553756322,0.695,13.9
67.2,4.986502171445528,99.0,99.0,6.47,99.0,7.300056212984315,0.687,13.6
67.7,2.7121363075870293,93.0,99.0,6.62,99.0,7.127190510971607,0.681,13.3
68.0,3.228805500458545,7.0,99.0,6.13,99.0,7.1524946253763595,0.675,13.1
89.0,8.876872467047592,98.0,99.0,1.59,99.0,10.767229398729368,0.89,16.3
87.0,6.555867937591436,98.0,99.0,1.57,99.0,8.44513558628423,0.889,16.3
83.0,6.500499414676767,98.0,99.0,1.54,99.0,8.406389376739028,0.886,16.2
83.0,6.571624613578833,97.0,98.0,1.42,98.0,8.470892497442877,0.884,16.1
80.0,6.502393582776778,97.0,98.0,1.17,98.0,8.398237886170271,0.878,15.9
79.8,6.5116526902869705,97.0,98.0,1.39,98.0,8.409510314497174,0.876,15.8
79.5,8.880731737833264,98.0,99.0,9.6,99.0,10.787783656915666,0.874,15.8
79.5,6.463584828102559,94.0,99.0,9.25,98.0,8.39949719672168,0.871,15.8
79.4,8.626979732695903,94.0,99.0,9.17,98.0,10.567549872001678,0.865,15.7
78.9,8.530941151248486,77.0,97.0,9.24,97.0,10.517815605626206,0.861,15.7
78.8,8.548984137075886,64.0,96.0,9.32,95.0,10.47984001061604,0.88,18.8
78.3,6.231083951076162,64.0,96.0,9.3,95.0,8.22816539521763,0.878,18.6
78.0,5.77243055995567,6.0,96.0,8.46,95.0,7.845154765189221,0.875,18.8
78.0,7.987651983948035,6.0,96.0,8.29,95.0,10.048564317923704,0.873,18.2
77.6,5.663684013114487,6.0,96.0,8.12,95.0,7.752961997312186,0.869,18.0
70.0,6.508906367942563,95.0,95.0,5.79,95.0,8.487398436536058,0.705,12.8
69.8,6.446040179334691,95.0,95.0,5.79,95.0,8.45308944359105,0.706,12.9
69.4,6.369563114969639,98.0,98.0,5.45,98.0,8.449907108251349,0.702,12.5
69.4,6.4079168892234755,95.0,95.0,5.61,95.0,8.415657961127405,0.7,12.4
69.5,6.347306390464774,96.0,96.0,5.85,96.0,8.376815966893833,0.7,12.4
69.5,6.311389213506954,97.0,98.0,5.81,97.0,8.356974816201227,0.7,12.7
69.6,3.956084372535021,94.0,94.0,5.9,94.0,6.105301942285889,0.699,12.8
69.6,4.257462210776846,96.0,97.0,4.76,96.0,8.37237004091777,0.7,12.8
69.4,5.96186191286583,98.0,98.0,4.4,98.0,8.340068897423857,0.692,12.3
69.0,5.904816456849009,96.0,96.0,4.45,96.0,8.277496442511152,0.695,12.8
68.7,5.788983382679948,97.0,97.0,4.39,97.0,8.251282575471272,0.691,12.5
68.4,5.748754548392426,96.0,95.0,4.53,96.0,8.210938437534661,0.684,12.2
68.5,5.5753046489393965,97.0,93.0,4.38,89.0,8.176830708590229,0.678,11.9
68.2,5.532039538033012,96.0,96.0,4.5,96.0,8.13747644639771,0.677,11.8
68.3,5.393736556774146,76.0,91.0,3.98,91.0,8.121309151239604,0.668,11.7
59.7,4.5122000132405,78.0,74.0,4.59,78.0,6.8508532058135225,0.475,10.7
59.5,4.481962941749854,77.0,73.0,4.59,77.0,6.820308307425877,0.466,10.3
59.3,2.3799233472356236,8.0,8.0,4.86,8.0,6.732157188944585,0.458,10.0
59.1,4.711900020800377,75.0,77.0,5.37,75.0,6.717735509317236,0.454,9.8
58.7,4.556582482607091,76.0,77.0,4.95,76.0,6.631601135884715,0.451,9.5
58.4,4.276860440273346,79.0,8.0,4.46,79.0,6.677653110049567,0.448,9.3
57.6,2.1535547963017483,75.0,77.0,4.2,75.0,4.420662438820467,0.444,9.1
57.1,2.1392208086374573,82.0,82.0,4.55,82.0,4.350734851312603,0.438,8.9
56.8,4.342691749483222,74.0,76.0,4.75,74.0,6.44069004841146,0.434,8.7
56.5,2.092727559744261,7.0,73.0,4.73,7.0,4.1399547072320475,0.43,8.5
56.1,2.462684955005996,75.0,74.0,4.56,72.0,6.37074568418674,0.423,8.1
55.8,2.2957444789526513,73.0,75.0,4.63,73.0,6.254390739625868,0.416,7.7
55.6,3.7254079004536638,15.0,76.0,4.27,75.0,6.039536778148897,0.407,7.3
69.4,5.348973096134336,99.0,98.0,3.57,99.0,7.833519713288694,0.596,12.5
69.1,3.0344997296748986,97.0,97.0,3.83,97.0,5.467565879767597,0.589,12.6
68.7,5.245640833822023,97.0,97.0,3.7,97.0,7.793098436717319,0.581,12.3
68.3,5.672815941596416,95.0,95.0,4.73,95.0,7.807696995052558,0.572,11.9
67.9,5.501418176933096,91.0,92.0,5.17,91.0,7.687044092288818,0.6651734296831573,11.4
67.4,3.3495205217929453,93.0,93.0,6.3,93.0,5.18310008215997,0.6651734296831573,10.9
67.0,5.715933612978115,96.0,96.0,6.58,96.0,7.493418229286836,0.6651734296831573,10.5
66.5,5.651809075365521,95.0,93.0,5.88,95.0,7.46287098644094,0.6651734296831573,10.1
65.8,5.136988298296289,95.0,96.0,5.27,95.0,7.197777331543781,0.6651734296831573,9.6
65.0,4.987684218233415,95.0,95.0,5.28,95.0,7.129789351051804,0.6651734296831573,9.2
64.2,1.2772320656550649,89.0,9.0,4.41,89.0,5.290576886175689,0.6651734296831573,8.8
63.3,3.0035338077924814,95.0,96.0,4.9,95.0,6.906496200775732,0.6651734296831573,8.4
62.5,5.030277904015175,83.0,89.0,7.75,86.0,6.787437034961558,0.6651734296831573,8.0
61.7,2.2590542048154796,89.0,88.0,5.91,88.0,4.487948125080947,0.6651734296831573,7.6
62.0,4.547103778823412,98.0,98.0,6.91,92.0,6.642308474907412,0.6651734296831573,7.3
77.2,6.598326790075477,89.0,86.0,9.57,86.0,8.555442147951574,0.742,14.2
77.0,4.338735828347251,91.0,87.0,9.46,89.0,6.285747690720974,0.735,14.2
76.8,6.543656627531814,92.0,87.0,9.94,92.0,8.459071017426282,0.728,13.9
76.9,2.1926732519724146,88.0,89.0,9.71,88.0,4.028148383484571,0.711,13.4
76.4,6.447921135028927,89.0,9.0,9.58,89.0,8.436519430337045,0.717,13.3
76.1,6.470832478471129,9.0,9.0,9.64,9.0,8.455083147406313,0.716,13.3
76.0,4.205384175285683,88.0,92.0,8.58,91.0,6.356657231876204,0.71,13.1
75.4,2.223580398656546,94.0,95.0,8.37,95.0,6.038567994331743,0.703,12.9
75.7,3.6700569329318045,9.0,91.0,8.28,87.0,5.844476440533502,0.697,12.7
75.0,3.8440341149264348,93.0,95.0,8.5,93.0,7.996119185250796,0.6651734296831573,12.5
75.5,1.4996049344325153,36.0,87.0,9.4,84.0,5.585909413697662,0.6651734296831573,12.3
65.1,6.497984204492825,95.0,96.0,5.41,95.0,8.922493269374343,0.697,12.6
64.2,0.7503831379210951,95.0,96.0,5.84,95.0,4.364699673635564,0.693,12.6
63.4,2.6271635619186333,95.0,96.0,6.27,95.0,6.593361542793994,0.687,12.5
62.2,6.507212464584779,95.0,96.0,5.25,95.0,8.941965992596137,0.678,12.4
61.1,6.306345846319958,95.0,96.0,5.64,95.0,8.755762155357676,0.669,12.3
59.2,6.05862205648117,94.0,96.0,6.39,96.0,8.553858689902682,0.661,12.2
57.5,6.16932321668576,94.0,96.0,5.55,96.0,8.63486592161142,0.646,12.1
56.9,6.241422944310854,93.0,96.0,4.71,96.0,8.650933451976334,0.63,12.1
54.8,4.347935570774652,93.0,96.0,4.93,96.0,8.589617078737671,0.61,11.9
51.7,6.447056329508692,92.0,96.0,5.62,96.0,8.585273009503435,0.593,11.9
48.1,6.153971054853607,91.0,96.0,5.56,96.0,8.496497267589492,0.58,11.8
46.4,5.705005477150343,9.0,96.0,4.65,96.0,8.334389822569495,0.567,11.8
46.0,1.9919764981627435,88.0,97.0,6.47,97.0,5.876666252053378,0.558,11.9
46.7,5.72994631308079,87.0,97.0,5.73,97.0,8.048781232391129,0.56,11.8
47.8,5.528999028382585,86.0,97.0,4.64,97.0,8.116921045509882,0.559,11.7
74.8,4.432775042375141,96.0,96.0,8.32,93.0,7.112830423330429,0.747,15.2
74.7,6.821402788515464,96.0,96.0,8.48,97.0,9.410661018905767,0.734,14.2
74.5,6.7383830674195835,96.0,96.0,8.26,95.0,9.416741902516137,0.73,14.2
74.1,6.990256285024244,98.0,98.0,8.9,99.0,9.485580834331566,0.724,14.0
73.8,7.014087514866904,96.0,99.0,8.27,99.0,9.325912503161245,0.716,13.8
73.6,6.33775165668134,99.0,99.0,8.65,99.0,9.054199260887588,0.714,13.8
73.4,6.267917679576717,96.0,99.0,8.24,99.0,9.081212270619769,0.704,13.3
73.3,5.981242807424269,99.0,99.0,8.28,99.0,8.897621882646776,0.7,13.5
73.0,3.4437377999661516,99.0,99.0,8.36,99.0,6.375273468639846,0.698,13.8
72.7,3.2093789015103176,98.0,99.0,8.27,99.0,6.1699929732356855,0.694,13.8
72.0,5.234360268351384,96.0,99.0,7.7,99.0,8.19546518997032,0.695,14.0
71.8,2.8248141914860643,97.0,99.0,6.94,99.0,5.8877348731268855,0.699,14.8
71.4,4.95570364576098,92.0,99.0,7.13,99.0,7.944722467552088,0.692,14.6
71.0,5.013831574545239,91.0,99.0,7.19,98.0,8.0545072885813,0.685,14.3
75.0,5.195607386781079,94.0,99.0,7.3,98.0,8.226872804337825,0.677,14.1
77.6,5.598952478988497,99.0,99.0,2.65,99.0,8.333478312399539,0.863,15.0
77.1,7.953777448187027,98.0,99.0,2.61,99.0,10.70545056506692,0.86,14.9
78.3,8.068914861672816,99.0,99.0,2.3,99.0,10.771685335030122,0.852,14.4
77.4,5.692967594424563,93.0,99.0,2.25,97.0,8.459198121795076,0.846,14.1
76.9,7.704976049165715,96.0,99.0,2.73,95.0,10.470762837202697,0.845,14.2
76.8,7.536196912189743,96.0,99.0,2.85,99.0,10.238761764669642,0.841,14.1
77.2,7.839896144388771,96.0,97.0,2.23,98.0,10.544085018163742,0.84,14.2
76.0,7.625379157117167,97.0,95.0,2.32,99.0,10.394315565399872,0.84,14.3
76.3,3.2571472102447347,99.0,94.0,2.24,97.0,5.991381843688148,0.837,14.3
76.2,5.1969199950274465,99.0,93.0,2.62,94.0,7.868305335781755,0.834,14.1
76.4,7.316747519439234,99.0,92.0,3.1,92.0,9.99413472741172,0.828,13.7
76.0,7.249578843103974,99.0,99.0,3.9,92.0,9.828578994075617,0.823,13.4
74.8,6.848752009288697,99.0,99.0,3.4,94.0,9.731940925134358,0.82,13.3
74.7,6.9844037157070415,99.0,99.0,3.6,97.0,9.70924292924095,0.819,13.4
74.4,2.549199912727238,99.0,99.0,3.5,99.0,5.244115952941039,0.818,13.4
74.3,5.037861515201254,95.0,88.0,8.44,88.0,8.968820911971111,0.787,14.8
74.1,5.015024839264344,95.0,95.0,7.93,95.0,8.945836346552186,0.781,14.4
73.9,6.74811534472696,95.0,95.0,7.11,95.0,8.906428016840252,0.778,14.3
73.7,6.775536760047389,96.0,95.0,6.88,95.0,8.96377912810931,0.775,14.2
73.4,6.643067452052972,95.0,94.0,7.24,94.0,8.831166104318887,0.77,13.9
73.2,6.496042343887211,96.0,94.0,6.78,94.0,8.84750186266206,0.768,13.8
